Bela-Bela,1279,200960.26,31635665.65
Brackenfell,1404,135951.55,17892675.23
Empangeni,1014,169022.596,18405158.17
George,303,10007,2290736.46
Howick,1389,105598.755,21432909.34
Kimberley,715,74840.907,12554664.12
King Williams,676,67439,8655635.24
Klerksdorp,628,90258.5,25577580.18
Marburg,717,72153.678,8148353.56
Middelburg,2323,453910.02,45456036.94
Mthatha,946,108539,14085784.95
Nelspruit,2211,696980.5,53755128.46
New Germany,919,128324.74,8992461.18
Polokwane,2925,1075849.89,95024309.59
Rosherville,857,161728.95,35940033.23
Rustenburg,439,93522.06,9598935.06
Spartan,1189,162260,19277359.72
Upington,55,858,419784.16
Vryheid,1267,110988.839,21321501.69
Welkom,506,42664.35,5735705.61